ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,MD5_HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge,marijuanachallenge,,Done,,Folder,,2017-11-30T23:56:58,FALSE,,,,,,
26,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/%24I30,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/$I30,$I30,,Done,45056,File,,2010-03-08T14:40:24,FALSE,e233c1d6508920c37a032daa2ca8d062,0,,,,
6,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/.DS_Store,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/.DS_Store,.DS_Store,Signature,Done,8196,File,,2017-11-30T23:57:03,TRUE,f0e56987188e94dd4cfa44f1983fdef6,1,fmt/394,,DS_store file (MAC),
64,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Assented%20to%20Motion%20to%20Enlarge%20Time.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Assented to Motion to Enlarge Time.doc,Assented to Motion to Enlarge Time.doc,Container,Done,28672,File,doc,2008-10-02T08:47:04,FALSE,aeb74356f6d8c4e1902389fb1d3f62e2,1,fmt/40,application/msword,Microsoft Word Document,97-2003
73,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/BRIEF-final.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/BRIEF-final.doc,BRIEF-final.doc,Container,Done,166912,File,doc,2008-11-07T18:23:12,FALSE,3e51622e5d2ba8d1dec1888e2026353f,1,fmt/40,application/msword,Microsoft Word Document,97-2003
71,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Cover%20Letter%20and%20signed%20Motion%20to%20Extend.txt,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Cover Letter and signed Motion to Extend.txt,Cover Letter and signed Motion to Extend.txt,Extension,Done,0,File,txt,2008-10-01T14:47:06,FALSE,d41d8cd98f00b204e9800998ecf8427e,1,x-fmt/111,text/plain,Plain Text File,
81,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/DeathofDeathFinalDraft.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/DeathofDeathFinalDraft.doc,DeathofDeathFinalDraft.doc,Container,Done,189440,File,doc,2008-08-15T12:12:42,FALSE,ed584e360dff13b73d4aec493a9f5c16,1,fmt/40,application/msword,Microsoft Word Document,97-2003
83,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/District%20Courts%20and%20Boston%20Municipal%20Court.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/District Courts and Boston Municipal Court.doc,District Courts and Boston Municipal Court.doc,Container,Done,128000,File,doc,2007-12-03T08:27:42,FALSE,d53e823dd1b9853795a47a803d3c7699,1,fmt/40,application/msword,Microsoft Word Document,97-2003
78,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS,FINAL MOTIONS,,Done,,Folder,,2017-11-02T15:59:10,FALSE,,,,,,
79,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%24I30,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/$I30,$I30,,Done,8192,File,,2008-11-13T09:55:16,FALSE,fe8a974ddde32155ff4521cd942d7987,0,,,,
84,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/Cusick08-1.transcript.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/Cusick08-1.transcript.doc,Cusick08-1.transcript.doc,Container,Done,108032,File,doc,2008-08-12T09:17:20,FALSE,a74fd3c6274005b1ad087a38bd405242,1,fmt/40,application/msword,Microsoft Word Document,97-2003
82,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/DEFENDANTS%20REQUESTED%20%20JURY%20INSTRUCTIONS.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/DEFENDANTS REQUESTED  JURY INSTRUCTIONS.doc,DEFENDANTS REQUESTED  JURY INSTRUCTIONS.doc,Container,Done,34304,File,doc,2008-05-09T08:18:22,FALSE,02f775c6951d5131e037443563cc1ea5,1,fmt/40,application/msword,Microsoft Word Document,97-2003
85,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/DEFENDANTSREQUESTEDJURYINSTRUCTIONS%28Eps%29%2B1.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/DEFENDANTSREQUESTEDJURYINSTRUCTIONS(Eps)+1.doc,DEFENDANTSREQUESTEDJURYINSTRUCTIONS(Eps)+1.doc,Container,Done,34816,File,doc,2008-05-09T10:53:24,FALSE,a1daac0382fa293ea1e846d22c34fe61,1,fmt/40,application/msword,Microsoft Word Document,97-2003
86,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/DEFENDANTSREQUESTEDJURYINSTRUCTIONS%28Eps%29%2B3.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/DEFENDANTSREQUESTEDJURYINSTRUCTIONS(Eps)+3.doc,DEFENDANTSREQUESTEDJURYINSTRUCTIONS(Eps)+3.doc,Container,Done,34816,File,doc,2008-05-11T17:53:08,FALSE,e2fe31eb0fda2ea180255bb347e7b8d9,1,fmt/40,application/msword,Microsoft Word Document,97-2003
